  209.  56.2 -6.01637492 -2.5715 -4.  15.  15.  14.
  211.  57.1 -5.68744808 -2.09899 -6.  12.  11.  10.
  213.  58. -5.19457052 -1.58332 -6.  10.  9.  7.
  214.5  59.1 -4.83874531 -0.98468 -7.  9.  8.  5.
  215.5  59.2 -5.97103058 -0.98468  2.  17.  17.  17.
  199.  53.5 -3.65890135 -3.92866 -4.  17.  17.  20.
  201.  53.8 -4.11200841 -4.22163 -3.  16.  18.  20.
  203.  54.2 -4.51021322 -4.08179 -3.  17.  17.  19.
  205.  54.8 -5.1332166 -3.83563 -7.  13.  13.  13.
  207.  55.6 -5.99580655 -2.55697 -5.  14.  14.  15.
  173.  51.6  0.0636934671 -2.335526  5.  10.  13.  19.
  175.  51.1 -0.153013453 -0.975666  2.  12.  15.  21.
  177.  50.8 -0.33249824 -1.187106 -3.  12.  15.  21.
  179.  50.4 -0.150069891 -1.187106 -1.  14.  17.  22.
  181.  50.3 -0.378851286 -1.661074 -2.  15.  17.  22.
  183.  50.4 -0.4070192 -1.661074 -5.  14.  17.  23.
  185.  50.5 -0.201165068 -1.646494 -5.  15.  18.  23.
  187.  50.9  0.131256494 -0.704697 -3.  15.  18.  23.
  189.  51.1 -0.982340337 -2.56378 -6.  15.  17.  21.
  191.  51.5 -1.79492423 -3.3309 -7.  15.  17.  19.
  197.  53.1 -3.21993869 -4.376645 -5.  16.  17.  20.
  193.  52. -1.93810456 -3.270145 -6.  15.  17.  20.
  195.  52.5 -2.65876466 -4.157765 -6.  16.  17.  20.
  92.1  14. -3.5623021 -1.73694  24. -5. -10. -22.
  91.6  12. -5.11231592 -1.63018  24. -7. -11. -22.
  91.4  10. -5.18866548 -1.52661  15. -15. -20. -29.
  91.7  8. -4.91850572 -2.89214  2. -28. -31. -39.
  299.8  18. -3.426474 -4.07829 -28. -6. -2.  11.
  298.  19.3 -3.82967861 -3.95059 -21. -6.  0.  11.
  296.  19.8 -4.27053002 -4.47857 -7.  1.  5.  16.
  294.  19.8 -4.77379985 -5.1816 -1.  2.  6.  15.
  292.  19.7 -4.86135416 -5.2717 -1.  2.  5.  14.
  302.6  12. -1.8466556 -1.948738 -28. -5. -2.  5.
  302.3  14. -2.15050968 -1.948738 -30. -6. -2.  9.
  301.2  16. -1.92059992 -2.136792 -31. -7. -3.  8.
  299.8  18. -0.732599588 -1.1577793 -28. -6. -2.  11.
  231.7  50.  0.0407800849 -5.484318  19.  14.  15.  16.
  233.4  48. -0.150520574 -5.799975  20.  15.  15.  15.
  234.1  46. -0.819969056 -5.58454  23.  15.  15.  15.
  234.6  44. -1.57852263 -5.781816  24.  12.  12.  12.
  285.9 -17.  2.74236152 -0.20176  34.  13.  7. -6.
  288. -19.  1.49523255 -0.32962  35.  6.  0. -12.
  288.7 -21. -1.50440488 -1.2061  42.  9.  5. -5.
  288.7 -23. -2.7042379 -1.61209  42.  9.  6. -2.
  288.6 -25. -2.88417162 -1.8993  41.  8.  5. -4.
  288.3 -27. -3.21783916 -1.66342  39.  8.  5. -3.
  287.7 -29. -3.93189282 -2.60321  39.  7.  4. -4.
  287.4 -32. -4.30802375 -3.32243  39.  7.  4. -5.
  286.9 -34. -5.60857461 -3.85452  39.  10.  8.  3.
  286.2 -35.5 -5.38555072 -3.66911  37.  9.  8.  3.
  285.4 -37. -4.67230472 -3.34678  42.  11.  8.  2.
  284.9 -39. -4.60194388 -3.79345  43.  11.  8.  1.
  284.7 -41. -4.39530844 -3.84108  43.  12.  8.  0.
  281.9  5.  2.84153556  4.636716  27.  3.  2. -2.
  280.9  3.5  2.23095008  4.444607  33.  10.  9.  7.
  279.9  2.  2.37880656  4.251475  25.  0. -1. -5.
  274.  9.4 -1.19655925 -2.776138  22.  9.  5. -6.
  268.  13.2 -0.715113488 -1.63552128  20.  11.  7. -3.
  270.  12.3 -0.690223216 -2.0734426  19.  11.  7. -3.
  272.  11.4 -1.24770883 -2.5334576  22.  11.  6. -4.
  266.  14.2 -0.461562852 -1.34504146  21.  12.  8. -2.
  142.2  35. -10.0519461 -12.44258 -21.  10.  14.  24.
  143.5  37. -10.1797808 -13.10377 -20.  11.  15.  24.
  144.2  39. -8.54012571 -9.7339 -20.  12.  15.  20.
  144.5  40.5 -9.32047271 -10.55589 -20.  12.  15.  23.
  181.6 -35. -6.18664394 -6.44132 -54. -27. -21. -8.
  182.2 -33. -4.6909434 -4.90918 -49. -21. -16. -4.
  183.2 -31. -4.28555789 -4.47095 -50. -22. -16. -4.
  183.9 -29. -2.54926951 -2.687166 -45. -16. -12.  2.
  184.5 -27. -2.60497792 -2.7775 -39. -12. -6.  6.
  145.5  41.5 -7.58643888  7.92946 -23.  5.  10.  20.
  147.  42.2 -7.19511161  7.77954 -22.  5.  10.  19.
  149.  43.5 -6.85545421  7.15878 -22.  6.  10.  20.
  151.  44.4 -6.01920108  6.67796 -19.  7.  11.  21.
  153.  45.3 -5.94881724  6.1799 -21.  7.  11.  20.
  155.1  47. -5.93566061  5.95402 -22.  8.  11.  18.
  157.5  49. -4.65896494  4.73713 -19.  9.  13.  20.
  160.2  51. -4.05007754  4.05098 -19.  9.  12.  17.
  162.3  53. -3.35156392  3.37993 -18.  9.  12.  16.
  163.6  54.5 -3.17429757  3.20882 -17.  10.  12.  16.
  254.5  19.1 -1.38702675 -1.929043  36.  22.  18.  11.
  256.  17.9 -1.348099 -1.628589  30.  22.  19.  11.
  258.  16.9 -0.931108307 -1.157429  25.  20.  17.  9.
  260.  16.3 -0.0154845397 -0.340162  23.  21.  18.  8.
  262.  15.6  0.373803679 -0.299862  22.  19.  15.  7.
  264.  15.3  1.22114004  0.413336  17.  16.  13.  5.
  152. -6.1 -5.28424233  5.5244  20.  44.  49.  61.
  150. -7. -6.30621725  6.48948 -18.  9.  14.  26.
  148. -7.3 -6.45339848  6.74095 -22. -13. -10. -2.
  278.1 -4. -0.334877904  0.11258  47.  18.  14.  5.
  278.1 -5.5  0.391306145  0.42  47.  17.  13.  3.
  278.4 -7.  0.102473147 -0.53871  46.  17.  13.  1.
  279.2 -9.  0.691734739 -0.30005  45.  17.  12.  0.
  280.4 -11.  1.48304399  0.1557  44.  17.  12. -1.
  281.7 -13.  0.852930682 -0.81628  43.  16.  10. -2.
  128.6  4. -0.259670134 -0.28116 -57. -33. -33. -28.
  127.3  8. -1.21181636 -1.10293 -62. -33. -29. -22.
  126.8  10. -1.18498442 -1.388045 -44. -17. -16. -10.
  126.2  12. -1.10819583 -1.399377 -19.  6.  8.  11.
  125.2  14. -1.07574691 -1.366627 -4.  21.  23.  27.
  123.5  15.6  0.396481391 -1.005771  52.  53.  50.  45.
  134.  31.8 -0.339292515  0.470044 -9.  13.  18.  30.
  135.5  32.6 -0.303984123  0.460078 -9.  11.  16.  28.
  137.  33.1 -0.286501173  0.49471 -8.  10.  15.  26.
  127.  24.2 -1.47358476  1.78252  9.  34.  39.  53.
  129.  25.7 -1.64194151  1.89344  12.  39.  44.  58.
  130.5  27.5 -1.24715059  1.32599  7.  37.  42.  54.
  132.  29.8 -0.831615817  0.841714  9.  41.  46.  57.
  124.  23.4 -1.051069  1.81002  30.  46.  51.  63.
  335.4 -60. -1.1941053 -3.52005  18.  36.  34.  27.
  336.2 -58. -2.43003029 -3.21458  49.  73.  73.  74.
  334.9 -56. -1.89219354 -2.152064  39.  63.  66.  71.
  333. -55.1 -1.43274265 -1.445956  9.  32.  36.  44.
  331. -54.9 -1.45759846 -1.378864 -2.  14.  18.  27.
  92.6  6. -1.30365645 -4.34628  4. -32. -35. -40.
  93.  4. -2.07764529 -4.41476 -7. -33. -35. -39.
  95.  2. -4.16169283 -4.57545 -18. -31. -30. -25.
  97.  0. -2.70822602 -4.66056 -13. -36. -37. -39.
  98.1 -2. -3.27021187 -4.58688 -15. -35. -34. -35.
  99.7 -4. -3.24255582 -4.73667 -13. -33. -33. -34.
  100.8 -5.5 -3.15864862 -4.37105 -12. -32. -32. -33.
  102.3 -7. -3.45915954 -3.98522 -15. -27. -26. -23.
  105. -8.4 -4.0815618 -4.6294 -15. -26. -24. -21.
  107. -9.7 -3.73200443 -3.99301 -15. -22. -20. -15.
  109. -10.5 -3.97899401 -3.99614 -16. -16. -13. -5.
  111. -10.4 -4.3184693 -4.33703 -15. -15. -11. -4.
  113. -10.7 -4.3373326 -4.33279 -15. -13. -10. -1.
  115. -11.2 -4.19051799 -4.19473 -14. -13. -10. -2.
  117. -11.3 -3.31212175 -3.30226 -13. -6. -2.  8.
  185.4 -23. -0.492070831 -0.438336 -8.  23.  28.  41.
  186.5 -21.  0.775277032  0.88628  40.  67.  73.  85.
  187.2 -19.  2.34803141  2.474307  70.  107.  112.  124.
  138.  8.6 -8.72306842 -9.02672 -93. -62. -56. -44.
