Table 1. Data Used in This Study																					
Name																					
 	"Lat., degreesN"	"Lon., degreesE"	"Az, degrees"	"as, degrees"	"ad, degrees"	"Dmax, km"	"L, km"	Vcn	 Vcmpn	Vupn	Vupn (heuret)	"Vtn, mm.a-1"	Vtn (heuret)	Vsubn	Vzn	"A, Ma"	"f, km"	"Fsp, 1012 N.m-1"	UPN	Slab Edge	UPS
ANDA6	14	"92,1"	112	50	70	600	669	4	-20	-20	-19.9	24	24.4	-22	3	86	269	20	c	y	E3
ANDA5	12	"91,6"	101	40	70	600	700	7	-13	-1	-1	24	23.5	-12	6	82	478	21	c	y	E3
ANDA4	10	"91,4"	97	37	70	600	713	9	-10	-2	-2.1	15	15.3	-7	8	78	602	21	c	n	E3
ANDA3	8	"91,7"	77	34	70	600	729	18	3	-9	-8.5	2	1.6	13	15	74	1092	21	c	n	E3
ANDA2	6	"92,6"	70	33	70	600	735	18	5	-8	-8.1	4	3.9	19	15	69	1006	20	c	n	0
ANDA1	4	93	61	33	56	600	802	20	15	-13	-12.6	-7	-7	27	15	61	905	21	c	n	0
SUM6	2	95	25	29	40	1200	1106	41	41	-18	-18.4	-18	-18.4	57	25	52	1290	26	c	n	0
SUM5	0	97	56	28	40	1200	1114	28	28	-13	-12.7	-13	-12.7	38	17	46	786	25	c	n	0
SUM4	-2	"98,1"	47	28	49	1200	988	37	37	-15	-14.5	-15	-14.5	46	25	47	1175	22	c	n	0
SUM3	-4	"99,7"	50	28	49	1200	988	38	38	-13	-12.7	-13	-12.7	46	26	60	1541	25	c	n	0
SUM2	"-5,5"	"100,8"	51	28	61	1200	889	39	39	-12	-12.3	-12	-12.3	47	29	69	2017	24	c	n	0
SUM1	-7	"102,3"	34	27	63	1200	887	50	50	-15	-14.6	-15	-14.6	61	37	72	2692	25	c	n	0
JAVA7	"-8,4"	105	32	27	71	1200	852	53	53	-15	-14.7	-15	-14.7	64	42	75	3133	24	c	n	0
JAVA6	"-9,7"	107	25	26	68	1200	873	57	57	-15	-14.6	-15	-14.6	70	44	78	3430	25	c	n	0
JAVA5	"-10,5"	109	10	28	68	1200	854	60	60	-16	-15.7	-16	-15.7	75	47	80	3766	25	c	n	0
JAVA4	"-10,4"	111	10	29	69	1200	842	62	62	-15	-14.7	-15	-14.7	76	49	81	3998	25	c	n	0
JAVA3	"-10,7"	113	8	30	68	1200	838	64	64	-15	-14.8	-15	-14.8	77	51	82	4197	25	c	n	0
JAVA2	"-11,2"	115	11	29	68	1200	846	65	65	-14	-13.6	-14	-13.6	77	51	83	4274	25	c	n	0
JAVA1	"-11,3"	117	359	27	70	1200	855	66	66	-13	-13	-13	-13	79	52	84	4336	26	c	n	0
SULA2	2	123	170	30	-	150	270	36	56	80	-	49	-	-14	20	40	798	6	c	y	C1
SULA1	"2,3"	121	190	30	-	150	-	26	23	80	-	37	-	-11	-	40	-	-	c	y	C1
NEG	10	"121,7"	92	32	55	300	450	25	97	94	93.6	20	20.3	-4	17	20	332	7	c	y	C1
LUZ4	14	"119,2"	65	40	75	400	479	41	65	54	54.1	34	33.5	11	34	22	753	7	o	y	C1
LUZ3	16	"119,2"	95	36	60	670	842	71	93	54	54.1	68	67.7	7	56	18	1017	12	o	y	C1
LUZ2	"17,5"	"119,2"	88	26	60	670	914	86	87	80	80.3	81	81.3	9	63	27	1705	16	o	n	C1
LUZ1	19	"119,8"	119	37	65	670	809	97	96	96	95.8	94	94	2	80	32	2565	15	o	n	C1
BAT	"20,5"	"120,2"	74	41	75	670	755	70	70	60	59.8	60	59.8	12	62	35	2172	15	o	n	C1
PHIL6	4	"128,6"	246	39	-	250	-	16	77	7	-	-57	-	72	-	50	-	-	c	y	C1
PHIL5	8	"127,3"	267	35	-	250	330	37	95	6	-	-62	-	92	28	50	1413	8	c	n	C1
PHIL4	10	"126,8"	253	36	-	250	330	36	80	9	-	-44	-	74	28	50	1375	8	c	n	0
PHIL3	12	"126,2"	247	34	-	250	300	42	71	10	-	-19	-	65	35	50	1767	7	c	n	0
PHIL2	14	"125,2"	248	33	-	150	270	53	70	11	-	-4	-	63	29	45	1323	6	c	y	0
PHIL1	"15,6"	"123,5"	205	30	-	100	250	36	2	14	-	52	-	-9	14	40	578	5	c	y	0
RYU1	"23,4"	124	345	37	65	670	809	96	51	-14	-13.8	30	30.3	64	79	35	2774	16	c	y	E3
RYU2	"24,2"	127	325	34	57	600	790	85	56	-18	-17.5	9	9	77	65	38	2453	16	c	y	E2
RYU3	"25,7"	129	320	34	58	350	489	87	55	-21	-20.5	12	11.8	76	62	48	2973	11	c	n	E2
RYU4	"27,5"	"130,5"	310	35	61	325	447	82	53	-21	-21.1	7	6.6	74	60	50	2984	10	c	n	E2
RYU5	"29,8"	132	300	39	64	300	393	73	48	-21	-20.5	9	9	70	55	50	2772	9	c	n	E2
NAN3	"31,8"	134	335	12	-	100	601	48	48	-9	-9.4	-9	-9.4	56	8	17	135	8	c	n	C1
