Table 1. Data Used in This Studya																				
Name																				
 	Lat., degreesN	Lon., degreesE	Az, degrees	as, degrees	ad, degrees	Dmax, km	Reference	L, km	Vcn	 Vcmpn	Vupn	Vtn, mm.a-1	Vsubn	Vzn	A, Ma	f, km	Fsp, 1012 N.m-1	UPN	Slab Edge	UPS
ANDA6	14	92,1	112	50	70	600	Replumaz et al. [2004]	669	4	-20	-20	24	-22	3	86	269	20	c	y	E3
ANDA5	12	91,6	101	40	70	600	Replumaz et al. [2004]	700	7	-13	-1	24	-12	6	82	478	21	c	y	E3
ANDA4	10	91,4	97	37	70	600	Replumaz et al. [2004]	713	9	-10	-2	15	-7	8	78	602	21	c	n	E3
ANDA3	8	91,7	77	34	70	600	Replumaz et al. [2004]	729	18	3	-9	2	13	15	74	1092	21	c	n	E3
ANDA2	6	92,6	70	33	70	600	Replumaz et al. [2004]	735	18	5	-8	4	19	15	69	1006	20	c	n	0
ANDA1	4	93	61	33	56	600	Replumaz et al. [2004]	802	20	15	-13	-7	27	15	61	905	21	c	n	0
SUM6	2	95	25	29	40	1200	Bijwaard [1999]	1106	41	41	-18	-18	57	25	52	1290	26	c	n	0
SUM5	0	97	56	28	40	1200	Bijwaard [1999]	1114	28	28	-13	-13	38	17	46	786	25	c	n	0
SUM4	-2	98,1	47	28	49	1200	Bijwaard [1999]	988	37	37	-15	-15	46	25	47	1175	22	c	n	0
SUM3	-4	99,7	50	28	49	1200	Bijwaard [1999]	988	38	38	-13	-13	46	26	60	1541	25	c	n	0
SUM2	-5,5	100,8	51	28	61	1200	Bijwaard [1999]	889	39	39	-12	-12	47	29	69	2017	24	c	n	0
SUM1	-7	102,3	34	27	63	1200	Bijwaard [1999]	887	50	50	-15	-15	61	37	72	2692	25	c	n	0
JAVA7	-8,4	105	32	27	71	1200	Bijwaard [1999]	852	53	53	-15	-15	64	42	75	3133	24	c	n	0
JAVA6	-9,7	107	25	26	68	1200	Bijwaard [1999]	873	57	57	-15	-15	70	44	78	3430	25	c	n	0
JAVA5	-10,5	109	10	28	68	1200	Bijwaard [1999]	854	60	60	-16	-16	75	47	80	3766	25	c	n	0
JAVA4	-10,4	111	10	29	69	1200	Bijwaard [1999]	842	62	62	-15	-15	76	49	81	3998	25	c	n	0
JAVA3	-10,7	113	8	30	68	1200	Bijwaard [1999]	838	64	64	-15	-15	77	51	82	4197	25	c	n	0
JAVA2	-11,2	115	11	29	68	1200	Bijwaard [1999]	846	65	65	-14	-14	77	51	83	4274	25	c	n	0
JAVA1	-11,3	117	359	27	70	1200	Bijwaard [1999]	855	66	66	-13	-13	79	52	84	4336	26	c	n	0
SULA2	2	123	170	30	-	150	Bijwaard [1999]	270	36	56	80	49	-14	20	40	798	6	c	y	C1
SULA1	2,3	121	190	30	-	150	Bijwaard [1999]	-	26	23	80	37	-11	-	40	-	-	c	y	C1
NEG	10	121,7	92	32	55	300	Lallemand et al. [2001]	450	25	97	94	20	-4	17	20	332	7	c	y	C1
LUZ4	14	119,2	65	40	75	400	Lallemand et al. [2001]	479	41	65	54	34	11	34	22	753	7	o	y	C1
LUZ3	16	119,2	95	36	60	670	Lallemand et al. [2001]	842	71	93	54	68	7	56	18	1017	12	o	y	C1
LUZ2	17,5	119,2	88	26	60	670	Lallemand et al. [2001]	914	86	87	80	81	9	63	27	1705	16	o	n	C1
