Table 1. Data Set for 166 Transects Across Oceanic Subduction Zonesa


Reference Frame Transects	HS3	SB04	NNR	Slab Age at Trench	Upper Plate Strain	Main Upper Plate
	Vsubn	Vupn	Vtn	Vsubn	Vupn	Vtn	Vsubn	Vupn	Vtn			
ANDA6	-22.4	2.4	-24.4	7	27	5	24	44	22	85.5	1	Sunda
ANDA5	-11.7	1	-23.5	19	31	7	34	47	22	82	1	Sunda
ANDA4	-7.2	2.1	-15.3	23	33	15	38	47	29	77.8	1	Sunda
ANDA3	12.6	8.5	-1.6	42	38	28	53	49	39	73.7	1	Sunda
ANDA2	19	10.3	-3.9	48	39	32	55	47	40	69.2	0	Sunda
ANDA1	27.4	12.6	7	53	38	33	60	45	39	61.1	0	Sunda
SUM6	57	18.4	18.4	70	31	31	64	25	25	51.8	0	Sunda
SUM5	37.9	12.7	12.7	61	36	36	64	39	39	46.2	0	Sunda
SUM4	46.3	14.5	14.5	67	35	35	67	35	35	47.1	0	Sunda
SUM3	46.4	12.7	12.7	66	33	33	67	34	34	60	0	Sunda
SUM2	47.2	12.3	12.3	67	32	32	68	33	33	69	0	Sunda
SUM1	60.9	14.6	14.6	74	27	27	70	23	23	72	0	Sunda
JAVA7	63.9	14.7	14.7	75	26	26	70	21	21	75	0	Sunda
JAVA6	69.7	14.6	14.6	77	22	22	70	15	15	78	0	Sunda
JAVA5	74.7	15.7	15.7	75	16	16	64	5	5	80	0	Sunda
JAVA4	75.6	14.7	14.7	76	15	15	65	4	4	81	0	Sunda
JAVA3	76.8	14.8	14.8	76	13	13	63	1	1	82	0	Sunda
JAVA2	77.4	13.6	13.6	77	13	13	66	2	2	83	0	Sunda
JAVA1	78.8	13	13	72	6	6	58	-8	-8	84	0	Sunda
LUZ4	11.3	-54.1	-33.5	37	-31	-8	42	-26	-3	22	-1	Phil. Sea
LUZ3	6.6	-88	-67.7	38	-57	-36	53	-43	-21	18	-1	Phil. Sea
LUZ2	8.6	-80.3	-81.3	40	-49	-50	52	-37	-38	27	-1	Phil. Sea
LUZ1	1.6	-95.8	-94	33	-64	-66	50	-47	-49	32	-1	Phil. Sea
BAT2	12	-59.8	-59.8	41	-31	-31	49	-23	-23	35	-1	Phil. Sea
PHIL7	72.3	-7.4	56.8	49	-31	33	43	-36	28	50	-1	Sunda
PHIL6	70	-8.3	51.7	47	-32	29	42	-38	23	50	-1	Sunda
PHIL5	91.8	-5.8	62.3	63	-35	33	51	-47	22	50	-1	Sunda
PHIL4	74.4	-8.9	44.1	48	-36	17	41	-43	10	50	-1	Sunda
PHIL3	64.8	-10	19.1	40	-35	-6	34	-40	-11	50	-1	Sunda
PHIL2	63	-10.9	4.2	37	-36	-21	31	-42	-27	45	-1	Sunda
RYUS	63.9	13.8	30.3	49	-2	-46	32	-19	-63	35	1	Eurasia
RYUN1	77	17.5	-9	52	-6	-34	33	-24	-53	38	1	Eurasia
RYUN2	75.5	20.5	-11.8	48	-7	-39	30	-25	-58	48	1	Eurasia
RYUN3	74.4	21.1	-6.6	44	-9	-37	27	-26	-54	50	1	Eurasia
RYUN4	69.8	20.5	-9	38	-10	-41	22	-26	-57	50	1	Eurasia
NAN3	56.3	9.4	9.4	33	-13	-13	16	-30	-30	17	0	Amur
NAN2	50.8	9	9	30	-11	-11	14	-28	-28	17	0	Amur
NAN1	45.3	8.2	8.2	26	-10	-10	11	-26	-26	21	0	Amur
SMAR5	45.7	37.5	37.5	33	25	25	19	11	11	155	1	Phil. Sea
SMAR4	61.6	46.6	46.6	45	30	30	29	14	14	155	1	Phil. Sea
SMAR3	85.8	62.2	30.7	62	38	7	45	21	-10	156	1	Phil. Sea
SMAR2	109.9	79.7	43.9	79	49	13	62	32	-4	156.3	1	Phil. Sea
SMAR1	117.6	86	47.9	85	53	15	70	38	0	153.2	1	Phil. Sea
NMAR4	108.6	78	46.1	78	48	19	68	37	8	149.6	1	Phil. Sea
NMAR3	97.8	68.4	56.6	70	41	29	63	34	22	147.5	1	Phil. Sea
NMAR2	60.8	40.8	33.6	44	24	17	44	24	16	146.6	1	Phil. Sea
NMAR1	44.4	26.5	26.6	32	14	14	34	16	16	145.3	1	Phil. Sea
IZU4	109.2	60.2	60.2	78	29	29	68	19	19	148	1	Phil. Sea
IZU3	88	43.1	43.1	63	18	18	59	14	14	141	1	Phil. Sea
IZU2	95	43.8	43.8	68	16	16	62	11	11	135	1	Phil. Sea
IZU1	97.4	42.4	42.4	69	14	14	63	8	8	129	1	Phil. Sea
JAP4	113.7	11.9	21.2	82	-20	-10	68	-34	-24	127	-1	Amur
JAP3	111.6	11.9	20	80	-20	-11	67	-33	-24	132	-1	Amur
JAP2	105.9	10.7	20	75	-20	-12	67	-28	-20	131	-1	Amur
JAP1	109.8	11	19.6	78	-21	-12	67	-32	-23	128	-1	Amur
SKOUR5	100	23.3	23.3	72	-5	-5	57	-20	-20	128	-1	N-Amer.
SKOUR4	95.4	21.9	21.9	68	-5	-5	54	-19	-19	120	-1	N-Amer.
SKOUR3	99.3	22.3	22.3	71	-6	-6	57	-20	-20	118	-1	N-Amer.
SKOUR2	89.6	18.8	18.8	64	-7	-7	50	-21	-21	118	-1	N-Amer.
SKOUR1	98.2	20.7	20.7	70	-7	-7	57	-20	-20	118	-1	N-Amer.
NKOUR3	101.1	21.7	21.7	71	-8	-8	61	-18	-18	110	0	N-Amer.
NKOUR2	96.9	18.9	18.9	69	-9	-9	58	-20	-20	110	0	N-Amer.
NKOUR1	96	19.2	19.2	68	-9	-9	60	-17	-17	110	0	N-Amer.
KAM2	92.6	17.7	17.7	66	-9	-9	59	-16	-16	100	0	N-Amer.
KAM1	90.5	16.7	16.7	64	-10	-10	58	-16	-19	100	0	N-Amer.
W_ALE1	17.3	-4.6	-4.6	12	-10	-10	3	-19	-21	45	0	N-Amer.
W_ALE2	34.5	-1.6	-1.6	24	-12	-12	15	-21	-22	45	0	N-Amer.
C_ALE1	28.79	3.4	3.4	20	-12	-12	11	-21	-21	54	0	N-Amer.
C_ALE2	41.9	0.8	0.8	29	-14	-14	20	-22	-22	56	0	N-Amer.
C_ALE3	53.6	1.6	1.6	47	-15	-15	39	-22	-22	58	0	N-Amer.
C_ALE4	65.2	5	5	46	-14	-14	38	-23	-23	58	0	N-Amer.
C_ALE5	66	4.6	4.6	45	-15	-15	37	-23	-23	58	0	N-Amer.
